word,count,articles
lines,95,"helen-thomas-storms-wing.txt, a-new-much-ado-2012.txt, colloquial-conversation-in-othello.txt"
teachers,95,"stephen-maxfield-parrish-1922-2012.txt, birthday.txt, markwayne-mullins-1.txt"
animals,94,"hyena-news.txt, post-friendly-skies-reposted.txt, another-pearlman-gosse-xmas.txt"
moments,94,"persona.txt, sleeping.txt, winter-love.txt"
hands,93,"an-incontrovertible-proof-of-evolution.txt, airline-seats.txt, ukraine-shtetl.txt"
humans,91,"neanderthal-news.txt, large-mammal-news-.txt, ajrich-amyhempel-jillciment.txt"
Claims,91,"birthday.txt, fowles.txt, ukraine-shtetl.txt"
looked,91,"stilts.txt, ukraine-shtetl.txt, kazin-walker-in-the-city.txt"
isn't,90,"post-friendly-skies-reposted.txt, birthday.txt, shakespeare-exploits-the-oxymoron.txt"
Folks,89,"redskins-injuns-native-americans.txt, tobacco.txt, birthday.txt"
moved,87,"edwardandedna.txt, edward-thomas.txt, another-pearlman-gosse-xmas.txt"
seemed,87,"bergmans-the-seventh-seal.txt, tobacco.txt, erasmus-basketball-1951.txt"
encountered,86,"redskins-injuns-native-americans.txt, amnesia.txt, shakespeare-exploits-the-oxymoron.txt"
killed,86,"edward-thomas.txt, large-mammal-news-.txt, disasters-consoling.txt"
films,85,"a-new-much-ado-2012.txt, persona.txt, amnesia-on-film-and-now-ladies-and-gentlemen-2002.txt"
Lives,84,"redskins-injuns-native-americans.txt, advice-for-parents-part-one.txt, yet-another-note-on-nineteenth-century-horsedrawn-vehicles.txt"
wanted,84,"stephen-maxfield-parrish-1922-2012.txt, post-friendly-skies-reposted.txt, shakespeare-exploits-the-oxymoron.txt"
published,84,"birthday.txt, new-old-books.txt, mary-antin.txt"
responds,81,"cornell-english-then-and-now-6.txt, driftin1.txt, cornell-english-caruth.txt"
Hutchinson,81,"new-old-books.txt, cornell-english-then-and-now-6.txt, words-of-my-life-joint.htm"
arrived,80,"birthday.txt, another-pearlman-gosse-xmas.txt, eleanor-roosevelt-brooklyn-539east9.txt"
antres,79,"all-you-need-to-know-about-antres.txt, othello-anters.txt, antres-antrees-antars.txt"
grandchildren,78,"an-incontrovertible-proof-of-evolution.txt, advice-for-parents-part-one.txt, soccer-boulder.txt"
Robinson,77,"birthday.txt, more-nba-onomastics.txt, cornell-english-then-and-now-3b.txt"
larger,76,"neanderthal-news.txt, can-we-forgive-anthony-trollope.txt, lucinda-roanoke.txt"
replies,75,"birthday.txt, cornell-english-then-and-now-3b.txt, cornell-english-then-and-now.txt"
offers,74,"amnesia.txt, barefoot-to-palestine.txt, birthday.txt"
playing,73,"birthday.txt, sleeping.txt, when-i-lost-respect-for-authority-another-episode.txt"
Events,73,"neanderthal-news.txt, shakuntala-devi.txt, colloquial-conversation-in-othello.txt"
sentences,73,"colloquial-conversation-in-othello.txt, another-pearlman-gosse-xmas.txt, erasmus-basketball-1951.txt"
loved,71,"amnesia-on-film-and-now-ladies-and-gentlemen-2002.txt, colloquial-conversation-in-othello.txt, nobody-cares.txt"
weeks,70,"a-perfect-sentence.txt, another-pearlman-gosse-xmas.txt, trullo.txt"
Games,70,"why-we-love-kenneth-faried.txt, birthday.txt, creating-space.txt"
appeared,68,"neanderthal-news.txt, fuffa-fluff.txt, luckman-cortelyou-flatbush.txt"
who's,68,"markwayne-mullins-1.txt, lucinda-roanoke.txt, amnesia-on-film-the-majestic-2001.txt"
Starokonstantinov,68,"ukraine-shtetl.txt, starokonstantinov.txt, words-of-my-life-joint.htm"
ideas,67,"birthday.txt, new-careers-for-me-me-me.txt, poor.txt"
players,67,"creating-space.txt, sleeping.txt, when-i-lost-respect-for-authority-another-episode.txt"
parts,66,"redskins-injuns-native-americans.txt, an-incontrovertible-proof-of-evolution.txt, can-we-forgive-anthony-trollope.txt"
father's,66,"another-pearlman-gosse-xmas.txt, winter-love.txt, ukraine-shtetl.txt"
Stories,65,"amnesia-on-film-private-life-of-sherlock-holmes.txt, stilts.txt, suicides.txt"
England,63,"helen-thomas-storms-wing.txt, birthday.txt, manstand.txt"
houses,63,"birthday.txt, ukraine-shtetl.txt, paula-fox.txt"
Antin,62,"mary-antin.txt, words-of-my-life-joint.htm, roux-rue.htm"
movies,62,"redskins-injuns-native-americans.txt, amnesia.txt, bergmans-the-seventh-seal.txt"
ancestors,62,"helen-thomas-storms-wing.txt, ukraine-shtetl.txt, tyrannosaurus-ted-williams-mongols-anemoia-.txt"
looks,62,"edwardandedna.txt, lucinda-roanoke.txt, three-dreams-in-one-ten-minute-period-at-3-in-the-morning-eeek.txt"
Crusoe,60,"birthday.txt, cornell-english-then-and-now-3b.txt, cornell-english-then-and-now.txt"
wants,60,"markwayne-mullins-1.txt, another-pearlman-gosse-xmas.txt, shakespeare-exploits-the-oxymoron.txt"
calls,59,"advice-for-parents-part-one.txt, henry-james-portrait-of-a-lady-1963-2022.txt, tyrannosaurus-ted-williams-mongols-anemoia-.txt"
stars,59,"east-side-west-side.txt, universe.txt, anti-bucket-list.txt"
Objects,59,"an-incontrovertible-proof-of-evolution.txt, birthday.txt, superhero-perils.txt"
states,59,"markwayne-mullins-1.txt, at-the-old-west-bradford-cemetery.txt, predictions-2022.txt"
Horses,59,"yet-another-note-on-nineteenth-century-horsedrawn-vehicles.txt, edward-thomas.txt, my-diamond-jubilee.txt"
grandparents,58,"ukraine-shtetl.txt, kazin-walker-in-the-city.txt, suicides.txt"
decades,58,"emma-straub-modern-lovers-cortelyou-road.txt, rah-rah-cornell-football.txt, east-side-west-side.txt"
Milton,58,"birthday.txt, cornell-english-then-and-now.txt, olivier-truc.txt"
Flatbush,58,"eleanor-roosevelt-brooklyn-539east9.txt, emma-straub-modern-lovers-cortelyou-road.txt, fortress-of-solitude-.txt"
terms,57,"birthday.txt, ukraine-shtetl.txt, cornell-english-then-and-now-3b.txt"
We've,57,"large-mammal-news-.txt, another-pearlman-gosse-xmas.txt, sleeping.txt"
Literatures,56,"birthday.txt, cornell-english-then-and-now-5.txt, cornell-english-then-and-now.txt"
invented,56,"helen-thomas-storms-wing.txt, edward-thomas.txt, colloquial-conversation-in-othello.txt"
including,55,"nba-royalty.txt, three-dreams-in-one-ten-minute-period-at-3-in-the-morning-eeek.txt, ukraine-shtetl.txt"
hadn't,55,"tobacco.txt, edward-thomas.txt, terpen.txt"
counterhuman,54,"cornell-english-then-and-now-3b.txt, cornelll-then-and-now-3-c.txt, cornell-entlish-then-and-now.txt"
tells,54,"lucinda-roanoke.txt, fuffa-fluff.txt, erasmus-basketball-1951.txt"
internet,54,"hyena-news.txt, an-incontrovertible-proof-of-evolution.txt, can-we-forgive-anthony-trollope.txt"
Dodgers,54,"three-comments-on-books.txt, fortress-of-solitude-.txt, sleeping-in-my-life.txt"
enjoyed,54,"toibin-brooklyn-auster-follies.txt, rah-rah-cornell-football.txt, my-life-in-cooking.txt"
beings,54,"redskins-injuns-native-americans.txt, colloquial-conversation-in-othello.txt, suicides.txt"
changed,53,"bergmans-the-seventh-seal.txt, birthday.txt, lucinda-roanoke.txt"
happens,53,"markwayne-mullins-1.txt, shakespeare-exploits-the-oxymoron.txt, mature-romance.txt"
Sonia,53,"kazin-walker-in-the-city.txt, my-life-in-cooking.txt, words-of-my-life-troll.txt"
reported,53,"fowles.txt, driftin1.txt, tree.txt"
passed,53,"at-the-old-west-bradford-cemetery.txt, reading-obituaries.txt, state-of-the-person.txt"
proud,53,"redskins-injuns-native-americans.txt, helen-thomas-storms-wing.txt, markwayne-mullins-1.txt"
girls,52,"two-possibly-three-improvements-to-soccer.txt, paule-marshall.txt, mary-antin.txt"
surprised,52,"can-we-forgive-anthony-trollope.txt, birthday.txt, fowles.txt"
poems,51,"sonnet-for-my-father.txt, cornell-english-then-and-now-6.txt, words-of-my-life-text.txt"
trees,51,"winter-love.txt, wood-products-ennos.txt, cornell-entlish-then-and-now.txt"
introduced,51,"birthday.txt, colloquial-conversation-in-othello.txt, airline-seats.txt"
failed,51,"advice-for-parents-part-one.txt, ukraine-shtetl.txt, adelle-waldman-love-affairs-of-nathaniel-p.txt"
entered,51,"mary-antin.txt, words-of-my-life-outing-1.txt, boot-booty-bootless-.txt"
Braddock,50,"cornell-english-then-and-no.txt, words-of-my-life-joint.htm, roux-rue.htm"
inches,50,"post-friendly-skies-reposted.txt, advice-for-parents-part-one.txt, birthday.txt"
brothers,50,"advice-for-parents-part-one.txt, astonishing-dream-idea-for-a-new-technology.txt, jokic-zubac-embiid.txt"
letters,50,"stephen-maxfield-parrish-1922-2012.txt, how-rupert-brooke-died.txt, erasmus-basketball-1951.txt"
reasons,50,"birthday.txt, neugeboren-imagining-robert-lefferts.txt, ukraine-shtetl.txt"
shocked,49,"birthday.txt, at-the-old-west-bradford-cemetery.txt, reading-obituaries.txt"
neighbors,49,"large-mammal-news-.txt, at-the-old-west-bradford-cemetery.txt, poor.txt"
Polotsk,48,"mary-antin.txt, words-of-my-life-joint.htm, roux-rue.htm"
dazzled,48,"edward-thomas.txt, birthday.txt, predictions-2022.txt"
essays,48,"cornell-english-then-and-now-6.txt, cornell-english-then-and-now-5.txt, words-of-my-life-an-index.txt"
Dreams,48,"morpheus-sleep-lamb.txt, three-dreams-in-one-ten-minute-period-at-3-in-the-morning-eeek.txt, astonishing-dream-idea-for-a-new-technology.txt"
