,blog_count,blog_freq_per_million,general_freq_per_million,distinctiveness,rank
way,520,822.1655841486476,841,0.977604737394349,96
after,585,924.9362821672285,965,0.9584831939556772,97
about,1475,2332.1043011908755,2449,0.9522679874197123,98
what,1681,2657.8083595266858,2858,0.9299539396524443,99
other,757,1196.8833600010119,1299,0.9213882678991623,100
analysis,32,50.59480517837831,55,0.9199055486977874,101
them,753,1190.5590093537146,1309,0.9095179597812946,102
any,445,703.5840095118233,775,0.9078503348539655,103
good,769,1215.8564119429038,1359,0.8946699131294362,104
know,927,1465.6682625111468,1655,0.8856001586170071,105
could,750,1185.8157463682417,1341,0.8842772157854151,106
all,1707,2698.916638734118,3060,0.8819989015470974,107
social,131,207.1224836989862,240,0.8630103487457759,108
your,769,1215.8564119429038,1414,0.8598701640331711,109
his,2732,4319.531492104048,5063,0.8531565261908055,110
different,152,240.325324597297,290,0.8287080158527482,111
large,171,270.3659901719591,330,0.8192908793089669,112
she,1815,2869.674106211145,3517,0.8159437322181249,113
like,886,1400.8436683763493,1810,0.7739467781084803,114
would,1465,2316.293424572632,3015,0.768256525563062,115
for,4226,6681.676458869586,8776,0.7613578462704633,116
from,2189,3461.000891733441,4682,0.7392142015663052,117
back,452,714.6516231445936,971,0.7359954924249161,118
problem,106,167.59529215337815,230,0.7286751832755571,119
time,771,1219.0185872665522,1699,0.7174918112222203,120
over,464,733.6246750864855,1026,0.7150337963805902,121
out,1158,1830.899512392565,2605,0.7028405037975297,122
not,3701,5851.605436411816,8355,0.7003716859858548,123
important,141,222.93336031722941,320,0.6966667509913419,124
they,1965,3106.837255484793,4522,0.6870493709608122,125
concept,13,20.554139603716187,30,0.6851379867905396,126
with,3373,5333.008683333439,7801,0.6836314169123752,127
her,1527,2414.32085960574,3567,0.6768491336152902,128
national,68,107.51396100405391,160,0.6719622562753369,129
their,1173,1854.61582731993,2887,0.6424024341253655,130
health,42,66.40568179662154,110,0.603688016332923,131
work,330,521.7589284020264,868,0.6011047562235328,132
want,305,482.2317368564183,812,0.5938814493305644,133
political,67,105.93287334222958,180,0.5885159630123866,134
approach,8,12.648701294594577,22,0.5749409679361172,135
people,491,776.3140419557423,1508,0.514797110050227,136
this,1890,2988.255680847969,5832,0.51238952003566,137
you,2251,3559.028326766549,6954,0.5117958479675797,138
discourse,11,17.391964280067544,34,0.5115283611784571,139
come,339,535.9887173584452,1053,0.5090111275958644,140
year,445,703.5840095118233,1424,0.49408989432010064,141
research,18,28.4595779128378,60,0.4743262985472967,142
need,166,262.4605518628375,570,0.4604571085312939,143
system,72,113.8383116513512,250,0.4553532466054048,144
will,898,1419.8167203182413,3167,0.4483159836811624,145
make,447,706.7461848354719,1846,0.38285275451542355,146
take,368,581.8402595513506,1611,0.3611671381448483,147
see,273,431.63693167803996,1302,0.3315183807050998,148
use,178,281.43360380472933,937,0.30035603394314764,149
say,635,1003.9906652584447,3646,0.2753677085184983,150
get,395,624.5296264206073,2282,0.2736764357671373,151
process,38,60.08133114932425,220,0.2730969597696557,152
look,187,295.66339276114826,1111,0.2661236658516186,153
give,122,192.8926947425673,766,0.25181813935061004,154
