word,count,subject,articles
sonnets,5,literary,"ulysses.txt, john-milton-and.txt, a-conversation-in-romeo-and-juliet.txt"
stanzas,4,literary,"the_p_s_217_ass.txt, lydiamariachild.txt"
morphemes,2,linguistic,no_ham_in_your_.txt
declensions,2,linguistic,beffaapril.txt
